City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Mata Grande,BR,-9.1175,-37.7322,71.01,91,100,4.43,overcast clouds
267,Sidrolandia,BR,-20.9319,-54.9614,73.4,88,40,6.91,scattered clouds
268,Carnarvon,AU,-24.8667,113.6333,86.0,70,6,4.61,clear sky
269,Llorente,PH,11.4119,125.5458,79.2,79,100,17.27,overcast clouds
270,Kieta,PG,-6.2167,155.6333,84.02,72,100,16.44,overcast clouds
271,Berlevag,NO,70.8578,29.0864,26.6,80,0,8.05,light snow
272,Borovoy,RU,55.4333,86.0833,-20.2,76,0,2.24,clear sky
273,Dwarka,IN,22.2394,68.9678,64.53,49,0,10.45,clear sky
274,Catuday,PH,16.2923,119.8062,73.22,67,100,15.52,overcast clouds
275,Baruun-Urt,MN,46.6806,113.2792,5.41,95,100,2.42,light snow
276,Bakchar,RU,57.0186,82.0711,-22.31,85,100,5.46,overcast clouds
277,Pleasanton,US,37.6624,-121.8747,57.2,58,90,8.05,overcast clouds
278,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,51,0,8.05,clear sky
279,Boralday,KZ,43.3578,76.8594,14.0,73,20,6.71,mist
280,Te Anau,NZ,-45.4167,167.7167,65.84,47,62,6.38,broken clouds
281,Makubetsu,JP,45.3714,141.8211,23.0,80,75,25.32,snow
282,Alyangula,AU,-13.8483,136.4192,86.0,70,0,8.05,clear sky
283,Asfi,MA,32.2994,-9.2372,58.55,88,33,9.13,scattered clouds
284,Pignon,HT,19.3333,-72.1167,65.01,88,57,5.3,broken clouds
285,Pangnirtung,CA,66.1451,-65.7125,-8.93,74,23,2.57,few clouds
286,Bochnia,PL,49.9691,20.4303,27.0,90,53,4.0,broken clouds
287,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,90,11.5,overcast clouds
288,Souillac,MU,-20.5167,57.5167,78.8,83,40,8.05,scattered clouds
289,Kansk,RU,56.2017,95.7175,-41.49,79,6,0.94,clear sky
290,Bandarbeyla,SO,9.4942,50.8122,73.8,72,100,15.79,overcast clouds
291,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.34,91,100,3.11,overcast clouds
292,Smithers,CA,54.7804,-127.1743,21.2,68,90,2.3,light snow
293,Sao Filipe,CV,14.8961,-24.4956,74.64,61,100,7.9,overcast clouds
294,Kloulklubed,PW,7.0419,134.2556,82.4,74,90,10.36,overcast clouds
295,Portland,US,45.5234,-122.6762,48.99,81,90,12.66,overcast clouds
296,Esperance,AU,-33.8667,121.9,68.0,64,0,13.8,clear sky
297,Broome,US,42.2506,-75.833,15.01,79,1,6.91,clear sky
298,Tamandare,BR,-8.7597,-35.1047,77.85,82,100,8.55,overcast clouds
299,Verkhoyansk,RU,67.5447,133.385,-45.98,75,57,0.69,broken clouds
300,Isabela,PH,6.7085,121.9711,84.2,65,40,10.36,scattered clouds
301,Robertsport,LR,6.7533,-11.3686,79.99,86,0,9.06,clear sky
302,Aripuana,BR,-9.1667,-60.6333,73.89,98,100,1.63,overcast clouds
303,Margate,GB,51.3813,1.3862,39.0,75,14,3.0,few clouds
304,Muzhi,RU,65.3667,64.6667,-15.79,89,100,3.22,light snow
305,Port Alfred,ZA,-33.5906,26.891,63.0,92,0,0.89,clear sky
